task_id,category,unit,observed,required,status,uncertainty,exclusion_status,claim_status
R3-336,assignment_rate,observed records,0,held-out observations required,NOT_EVALUATED_NO_DATA,NOT_COMPUTED_NO_DATA,NONE_ZERO_RECORDS_RETAINED,C-NO-CLAIM
R3-336,scenario_risk_index,observed records,0,held-out observations required,NOT_EVALUATED_NO_DATA,NOT_COMPUTED_NO_DATA,NONE_ZERO_RECORDS_RETAINED,C-NO-CLAIM
R3-336,dispatch_latency_seconds,observed records,0,held-out observations required,NOT_EVALUATED_NO_DATA,NOT_COMPUTED_NO_DATA,NONE_ZERO_RECORDS_RETAINED,C-NO-CLAIM
R3-336,fallback_rate,observed records,0,held-out observations required,NOT_EVALUATED_NO_DATA,NOT_COMPUTED_NO_DATA,NONE_ZERO_RECORDS_RETAINED,C-NO-CLAIM
R3-349,seeds,paired units per axis level,8,30,SOURCE_REGIME_PRESENT_NO_RADS_OUTCOME,NOT_COMPUTED_NO_RADS_OUTCOMES,NONE_UNSUPPORTED_STATE_RETAINED,C-NO-CLAIM
R3-349,demand,paired units per axis level,8,30,SOURCE_REGIME_PRESENT_NO_RADS_OUTCOME,NOT_COMPUTED_NO_RADS_OUTCOMES,NONE_UNSUPPORTED_STATE_RETAINED,C-NO-CLAIM
R3-349,supply,paired units per axis level,8,30,SOURCE_REGIME_PRESENT_NO_RADS_OUTCOME,NOT_COMPUTED_NO_RADS_OUTCOMES,NONE_UNSUPPORTED_STATE_RETAINED,C-NO-CLAIM
R3-349,merchant_delay,paired units per axis level,8,30,SOURCE_REGIME_PRESENT_NO_RADS_OUTCOME,NOT_COMPUTED_NO_RADS_OUTCOMES,NONE_UNSUPPORTED_STATE_RETAINED,C-NO-CLAIM
R3-349,traffic,paired units per axis level,8,30,SOURCE_REGIME_PRESENT_NO_RADS_OUTCOME,NOT_COMPUTED_NO_RADS_OUTCOMES,NONE_UNSUPPORTED_STATE_RETAINED,C-NO-CLAIM
R3-349,location_noise,paired units per axis level,0,30,UNSUPPORTED_REGIME_NOT_PRESENT,NOT_COMPUTED_NO_RADS_OUTCOMES,NONE_UNSUPPORTED_STATE_RETAINED,C-NO-CLAIM
R3-349,location_staleness,paired units per axis level,8,30,SOURCE_REGIME_PRESENT_NO_RADS_OUTCOME,NOT_COMPUTED_NO_RADS_OUTCOMES,NONE_UNSUPPORTED_STATE_RETAINED,C-NO-CLAIM
R3-349,compute_constraints,paired units per axis level,8,30,SOURCE_REGIME_PRESENT_NO_RADS_OUTCOME,NOT_COMPUTED_NO_RADS_OUTCOMES,NONE_UNSUPPORTED_STATE_RETAINED,C-NO-CLAIM
